noLicitacao,codUasg,nomeUasg,data
62009,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,01/12/2009
82009,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,05/01/2010
22010,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,18/06/2010
32010,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,20/08/2010
42010,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,30/09/2010
52010,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,01/12/2010
62010,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,01/03/2011
72010,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,31/03/2011
82010,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,22/02/2011
22011,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,25/05/2011
32011,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,31/05/2011
42011,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,22/06/2011
52011,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,12/07/2011
62011,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,16/08/2011
72011,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,24/10/2011
82011,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,19/08/2011
92011,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,21/09/2011
102011,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,27/10/2011
112011,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,11/11/2011
122011,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,23/11/2011
132011,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,06/01/2012
142011,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,29/12/2011
152011,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,31/01/2012
12012,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,02/02/2012
22012,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,03/02/2012
32012,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,09/02/2012
42012,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,08/02/2012
52012,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,23/03/2012
72012,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,23/03/2012
82012,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,13/04/2012
102012,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,23/05/2012
122012,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,09/08/2012
132012,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,23/08/2012
172012,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,30/10/2012
22013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,25/02/2013
32013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,05/02/2013
42013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,20/02/2013
52013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,28/02/2013
62013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,01/03/2013
72013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,03/04/2013
82013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,22/03/2013
92013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,09/05/2013
102013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,08/05/2013
112013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,20/05/2013
122013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,02/07/2013
132013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,17/06/2013
142013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,29/05/2013
152013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,29/05/2013
172013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,10/07/2013
182013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,28/06/2013
192013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,24/06/2013
202013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,25/06/2013
212013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,26/06/2013
232013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,17/07/2013
242013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,11/12/2013
252013,120041,0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,22/10/2013
